zip_code,cluster,cluster_label
14001,1,Gentrifying
14004,1,Gentrifying
14005,0,Emerging
14006,1,Gentrifying
14008,1,Gentrifying
14009,1,Gentrifying
14011,1,Gentrifying
14012,1,Gentrifying
14013,1,Gentrifying
14020,1,Gentrifying
14024,0,Emerging
14025,1,Gentrifying
14026,1,Gentrifying
14028,1,Gentrifying
14030,1,Gentrifying
14031,1,Gentrifying
14032,1,Gentrifying
14033,1,Gentrifying
14034,1,Gentrifying
14036,1,Gentrifying
14037,1,Gentrifying
14040,1,Gentrifying
14042,1,Gentrifying
14043,1,Gentrifying
14047,1,Gentrifying
14048,1,Gentrifying
14051,1,Gentrifying
14052,0,Emerging
14054,0,Emerging
14057,1,Gentrifying
14058,2,Declining
14059,1,Gentrifying
14060,0,Emerging
14062,1,Gentrifying
14063,1,Gentrifying
14065,1,Gentrifying
14066,2,Declining
14067,1,Gentrifying
14068,1,Gentrifying
14069,1,Gentrifying
14070,1,Gentrifying
14072,1,Gentrifying
14075,1,Gentrifying
14080,1,Gentrifying
14081,1,Gentrifying
14085,1,Gentrifying
14086,1,Gentrifying
14091,1,Gentrifying
14092,0,Emerging
14094,1,Gentrifying
14098,1,Gentrifying
14101,1,Gentrifying
14102,1,Gentrifying
14103,1,Gentrifying
14105,1,Gentrifying
14108,1,Gentrifying
14111,1,Gentrifying
14120,1,Gentrifying
14125,1,Gentrifying
14126,0,Emerging
14127,1,Gentrifying
14131,1,Gentrifying
14132,1,Gentrifying
14136,1,Gentrifying
14138,1,Gentrifying
14139,1,Gentrifying
14141,1,Gentrifying
14143,1,Gentrifying
14145,1,Gentrifying
14150,1,Gentrifying
14167,1,Gentrifying
14170,1,Gentrifying
14171,1,Gentrifying
14172,1,Gentrifying
14174,1,Gentrifying
14201,0,Emerging
14202,0,Emerging
14204,1,Gentrifying
14206,1,Gentrifying
14207,1,Gentrifying
14208,2,Declining
14209,0,Emerging
14210,1,Gentrifying
14211,1,Gentrifying
14212,1,Gentrifying
14213,1,Gentrifying
14214,1,Gentrifying
14215,1,Gentrifying
14216,1,Gentrifying
14217,1,Gentrifying
14218,1,Gentrifying
14219,1,Gentrifying
14220,1,Gentrifying
14221,1,Gentrifying
14222,1,Gentrifying
14223,1,Gentrifying
14224,1,Gentrifying
14225,1,Gentrifying
14226,1,Gentrifying
14227,1,Gentrifying
14228,1,Gentrifying
14301,1,Gentrifying
14303,1,Gentrifying
14304,1,Gentrifying
14305,1,Gentrifying
14411,1,Gentrifying
14414,1,Gentrifying
14416,1,Gentrifying
14418,3,Stable
14420,1,Gentrifying
14422,2,Declining
14423,1,Gentrifying
14424,1,Gentrifying
14425,1,Gentrifying
