zip_code,zhvi_current,zhvi_1yr_ago,growth_1yr,growth_5yr
89121,355765.6763710103,366295.8466021431,-0.028747719442667467,0.33971523100870693
11434,704602.4466407882,659524.7395711414,0.06834877354101797,
30004,760982.6105511142,758642.4425385384,0.0030846784748098906,0.5089634964717313
85204,393510.2883343108,401468.2889924387,-0.019822239704411045,0.2537806503536248
48197,342566.66732402035,338689.162496261,0.011448564811406244,0.2969939982209146
30022,678050.8280079906,667631.1408643563,0.015606951961743934,0.47212389780586195
33157,628080.2309080482,637242.2800116321,-0.014377654137162188,0.5406271623430456
90262,688930.6292528375,675257.2466697745,0.02024914601138633,0.27310948256041373
43081,356502.4470319284,351035.21857592586,0.01557458672717202,0.3414451725741844
84096,604123.4161627392,593960.470606329,0.017110474618008745,0.27065769574957693
75243,298816.9469935908,307649.4787322117,-0.028709724375346725,0.22377185155072812
84015,465976.96582580986,456407.57790511014,0.020966759501721628,0.31919892401823513
89110,359818.8391843179,365204.17496560205,-0.01474609588401167,0.3569140208570574
90037,661985.0137284566,675295.2922966937,-0.01971030854216168,0.147534487793839
75098,423153.5365467952,450018.59966689954,-0.059697672807278716,0.2557457508082555
11211,1385332.8380941935,1305842.5892995377,0.060872764792649976,0.22757417594263918
60628,144597.53998479884,145276.80740778998,-0.004675676972198606,0.07463232121541082
32210,219045.77599351088,228881.12490334213,-0.04297142857011378,0.21846937013266118
92407,542275.0851737974,547503.342153181,-0.009549269523766234,0.3401588133066679
10312,754963.8973739265,716698.0535634048,0.05339186233346781,0.2360542036131724
30318,386449.60898977733,406879.8590747551,-0.05021199656192411,0.12415329163245109
66061,434397.8072960186,418074.6882212644,0.039043547802911326,0.3258644990217583
93906,707674.3862040071,716464.681729685,-0.012268986524857702,0.2478454861741948
77346,311564.90157535573,317448.251304843,-0.01853325606710472,0.21122241020954416
43123,330355.03523063,326460.8933807498,0.011928356286578264,0.3339862577519324
94080,1239962.84434577,1230266.8651892825,0.007881199950057868,0.10247672885451718
11706,620292.8912081387,610360.0322138648,0.016273770348700405,0.26857177111147534
60609,245397.8951488726,244295.4747590366,0.004512651701483205,0.04526784441758089
30058,247292.75960773663,264665.88610700704,-0.0656417294832107,0.2583735165568052
92703,822560.6476485977,826820.5438932246,-0.005152141267037704,0.3096598933260407
30096,417723.4071857872,425532.51603310864,-0.0183513798666183,0.39600392912798443
32259,541874.1091067619,560711.4632820947,-0.033595450439107076,0.3457665830598614
44256,374753.3685840015,361411.4263770653,0.03691621579506002,0.3685593261539158
95020,1080086.9369819465,1109642.6219101837,-0.026635318745560507,0.20429961112014328
02148,682971.4374273412,676984.6245770954,0.00884335128583718,0.2325719577885613
85301,312478.8998692472,322905.1703923415,-0.03228895502176687,0.26586187258620614
33463,383473.9700927867,399490.8571883731,-0.04009325071495668,0.3751833584962413
11717,598320.1767356334,570910.7305206145,0.04801003860975627,0.34619853553491337
42101,243026.34059149827,241148.6399303915,0.007786486631849834,0.37426786738527473
33033,434631.836810831,461454.1565139857,-0.05812564330502851,0.5052250486146824
98682,502127.6717552555,508025.94971082703,-0.011610190304115158,0.22664215693781095
21740,288660.39283912414,286682.91834954784,0.006897775775971406,0.3475159674468149
20878,703114.7617235548,709990.4297192701,-0.009684169966113371,0.18787697704839737
87120,359013.50835060986,353818.7522737404,0.014681969351501161,0.3946550808869807
29072,361356.8961201997,357727.7763983773,0.01014492013553031,0.3788854659322507
23322,549232.285449362,534429.6681777961,0.027697970664759874,0.3261915290288106
92404,480007.110587403,479624.2704875446,0.00079820835477998,0.3799277798560452
19143,145658.47355914465,145471.23773661628,0.0012870985731720291,-0.1139236004585925
90022,678485.179339973,680713.4635631592,-0.0032734540191439194,0.21518079870382045
30135,313220.63768703,324738.92649319215,-0.035469381298221435,0.2749528382020542
85383,641782.799881729,643286.8819083913,-0.0023381201590809016,0.3232533911167662
91761,692905.2028826879,710813.9081441346,-0.0251946466666705,0.30559780748367077
91977,768673.5754803623,786636.6154066479,-0.022835245111238203,0.2624540811412691
75043,289503.08770415344,305814.2951756203,-0.053336968640068975,0.21110625589923737
92677,1498178.7261834648,1459012.0020048309,0.02684468950551114,0.6568948143385267
80219,427007.6710926443,451079.4607404608,-0.053364854184009894,0.08547850105304121
85308,475005.93320069247,486964.12039141887,-0.02455660836185319,0.2562773169918575
32808,257668.03512033168,278620.766378748,-0.07520161375887487,0.29852272882535225
92630,1206053.206818078,1226658.5071729373,-0.016797910938023065,0.49106600211954327
95758,578200.2671867047,601188.5046297897,-0.03823798570007781,0.18266647866295063
40475,297054.33245338424,292196.61072088015,0.01662483942068858,0.3120558721477573
77521,254832.7407395067,255025.7410226405,-0.0007567874613749577,0.21187888162500887
92346,559652.4235147074,561644.5607021758,-0.003546971388769211,0.31880796873008327
38401,374979.3303100178,371803.0975999197,0.008542781732055093,0.40441088606122194
08753,533782.7742560557,514803.463889584,0.03686709918980348,0.5190957229363634
30188,468255.44646016415,474983.8089874456,-0.014165456590246199,0.3732147044596637
32244,252904.67684967443,263046.8889494843,-0.038556670030633046,0.271468789187521
20019,355207.7995053961,382858.7434555157,-0.0722223128576202,-0.1313949000021188
37122,571579.3184232506,571080.1319810852,0.0008741092785590662,0.4012057252881816
90731,821697.9787513628,834777.2258734774,-0.015667949144670353,0.17491373419472023
